date,customer_id,item_id,quantity,selling_price,other_discount,coupon_discount
2012-01-02,1501,26830,1,35.26,-10.69,0.0
2012-01-02,1501,54253,1,53.43,-13.89,0.0
2012-01-02,1501,31962,1,106.5,-14.25,0.0
2012-01-02,1501,33647,1,67.32,0.0,0.0
2012-01-02,1501,48199,1,71.24,-28.14,0.0
2012-01-02,1501,57397,1,71.24,-28.14,0.0
2012-01-02,857,12424,1,106.5,-14.25,0.0
2012-01-02,857,14930,1,110.07,0.0,0.0
2012-01-02,857,16657,1,89.05,-35.26,0.0
2012-01-02,67,10537,3,32.06,0.0,0.0
2012-01-02,67,19560,2,106.86,-2.85,0.0
2012-01-02,67,21653,1,44.52,-12.11,0.0
2012-01-02,67,32083,1,8.9,0.0,0.0
2012-01-02,751,10423,1,81.57,0.0,0.0
2012-01-02,751,10565,1,71.24,-35.26,0.0
2012-01-02,751,17035,1,127.88,0.0,0.0
2012-01-02,751,27801,2,71.24,-27.78,0.0
2012-01-02,751,30645,1,127.88,0.0,0.0
2012-01-02,751,30832,1,213.36,-106.86,0.0
2012-01-02,751,34047,1,53.43,0.0,0.0
2012-01-02,751,34139,1,35.62,-10.33,0.0
2012-01-02,751,45502,1,82.99,-80.5,0.0
2012-01-02,751,46101,1,135.0,-14.25,0.0
2012-01-02,751,51615,1,142.12,-35.62,0.0
2012-01-02,679,4408,1,63.76,0.0,0.0
2012-01-02,679,5454,1,53.07,-17.81,0.0
2012-01-02,679,5797,1,99.38,-7.12,0.0
2012-01-02,679,5865,1,78.36,-15.67,0.0
2012-01-02,679,7200,1,63.76,0.0,0.0
2012-01-02,679,9198,1,152.81,0.0,0.0
2012-01-02,679,9532,1,131.08,0.0,0.0
2012-01-02,679,9802,1,95.82,-10.69,0.0
2012-01-02,679,10046,2,70.53,-14.25,0.0
2012-01-02,679,12065,1,89.05,-24.58,0.0
2012-01-02,679,12456,1,59.49,-11.4,0.0
2012-01-02,679,12706,1,106.5,-7.12,0.0
2012-01-02,679,13174,1,35.26,0.0,0.0
2012-01-02,679,14609,1,28.85,-2.85,0.0
2012-01-02,679,15351,1,42.39,-42.74,0.0
2012-01-02,679,15882,1,92.26,0.0,0.0
2012-01-02,679,17045,1,170.62,0.0,0.0
2012-01-02,679,17234,1,186.65,0.0,0.0
2012-01-02,679,17562,2,99.02,0.0,0.0
2012-01-02,679,19522,2,156.02,0.0,0.0
2012-01-02,679,21598,1,31.7,0.0,0.0
2012-01-02,679,22274,1,44.52,-47.73,0.0
2012-01-02,679,24270,1,35.26,0.0,0.0
2012-01-02,679,25123,1,67.32,0.0,0.0
2012-01-02,679,25312,1,88.69,0.0,0.0
2012-01-02,679,26066,1,186.65,0.0,0.0
2012-01-02,679,27186,1,45.24,0.0,0.0
2012-01-02,679,28289,1,24.22,-7.48,0.0
2012-01-02,679,31235,1,177.74,-35.62,0.0
2012-01-02,679,31479,1,41.32,-4.63,0.0
2012-01-02,679,32635,2,90.47,0.0,0.0
2012-01-02,679,33073,1,106.5,0.0,0.0
2012-01-02,679,33515,2,118.97,-58.42,0.0
2012-01-02,679,34395,1,127.88,-14.25,0.0
2012-01-02,679,34465,1,59.49,-11.4,0.0
2012-01-02,679,35645,1,135.0,0.0,0.0
2012-01-02,679,36076,1,97.6,-8.9,0.0
2012-01-02,679,36568,1,113.63,-28.5,0.0
2012-01-02,679,45148,2,165.99,-161.0,0.0
2012-01-02,679,45502,1,82.99,-80.5,0.0
2012-01-02,679,53517,1,163.5,0.0,0.0
2012-01-02,679,55859,1,35.26,0.0,0.0
2012-01-02,679,57341,1,248.98,0.0,0.0
2012-01-02,679,58267,1,302.41,0.0,0.0
2012-01-02,135,4642,1,44.52,-12.11,0.0
2012-01-02,135,5566,1,81.57,-24.93,0.0
2012-01-02,135,9309,3,53.43,0.0,0.0
2012-01-02,135,9645,1,59.49,-18.52,0.0
2012-01-02,135,12433,1,71.24,-31.7,0.0
2012-01-02,135,12543,1,95.82,0.0,0.0
2012-01-02,135,13174,1,35.26,0.0,0.0
2012-01-02,135,14473,1,142.12,-53.43,0.0
2012-01-02,135,16679,2,70.53,0.0,0.0
2012-01-02,135,17488,1,106.5,0.0,0.0
2012-01-02,135,21653,1,44.52,-12.11,0.0
2012-01-02,135,23922,1,747.66,0.0,0.0
2012-01-02,135,26830,1,35.26,-10.69,0.0
2012-01-02,135,27435,1,71.24,-49.51,0.0
2012-01-02,135,33084,1,35.26,0.0,0.0
2012-01-02,135,47317,1,71.24,-13.89,0.0
2012-01-02,135,48427,2,70.53,0.0,0.0
2012-01-02,135,48995,2,165.99,-118.26,0.0
2012-01-02,135,53534,1,163.5,0.0,0.0
2012-01-02,135,54303,1,82.99,-80.5,0.0
2012-01-02,464,5525,1,106.5,-35.62,-35.62
2012-01-02,464,6497,1,89.05,-35.26,0.0
2012-01-02,464,6588,1,19.59,0.0,0.0
2012-01-02,464,7005,2,70.53,-56.99,0.0
2012-01-02,464,7364,2,42.74,-6.41,0.0
2012-01-02,464,8145,1,39.18,-24.58,-14.25
2012-01-02,464,8261,1,22.08,-9.62,0.0
2012-01-02,464,9790,1,142.48,-42.39,0.0
2012-01-02,464,10151,1,70.88,-7.12,0.0
2012-01-02,464,10763,2,127.52,-14.25,0.0
2012-01-02,464,10789,1,99.38,-42.74,0.0
2012-01-02,464,12795,1,35.26,-7.12,0.0
2012-01-02,464,14172,1,35.26,-35.62,0.0
2012-01-02,464,14849,1,17.81,-17.45,0.0
2012-01-02,464,15076,2,70.53,-7.12,0.0
2012-01-02,464,15581,1,320.22,-188.79,0.0
2012-01-02,464,16381,1,48.8,-14.96,-35.62
2012-01-02,464,16796,1,48.8,-14.96,0.0
2012-01-02,464,17771,1,44.52,-15.67,0.0
2012-01-02,464,17861,3,75.51,-32.06,-26.71
2012-01-02,464,18036,1,35.62,-21.02,0.0
2012-01-02,464,18291,2,35.62,-34.91,0.0
2012-01-02,464,18511,1,17.81,-17.45,0.0
2012-01-02,464,19539,1,53.43,-35.26,0.0
2012-01-02,464,19583,2,124.67,-45.59,-35.62
2012-01-02,464,20697,1,92.26,-21.37,-35.62
2012-01-02,464,20717,2,28.5,-27.78,0.0
2012-01-02,464,21008,1,35.26,-17.81,0.0
2012-01-02,464,22243,2,118.97,-22.8,0.0
2012-01-02,464,22619,1,17.81,0.0,0.0
2012-01-02,464,22930,2,70.53,-56.99,0.0
2012-01-02,464,22956,1,248.98,-35.62,0.0
2012-01-02,464,23417,1,53.43,-10.33,0.0
2012-01-02,464,24649,1,35.26,-24.93,0.0
