,id,campaign_id,coupon_id,customer_id,redemption_status,campaign_type,duration,month,year,age_range,marital_status,rented,family_size,no_of_children,income_bracket,mean_quantity_cust,mean_selling_price_cust,mean_other_discount_cust,mean_coupon_discount_cust,mean_quantity_item_coupon,mean_selling_price_item_coupon,mean_other_discount_item_coupon,mean_coupon_discount_item_coupon,brand,brand_type,category
0,1,13,27,1053,0,X,47,5,2013,46-55,Married,0,1,1,5,340.48709677419356,184.26048387096773,-33.16893548387097,-0.287258064516129,1.1697677234313901,84.47858325876041,-51.732305399369,-1.2416941068437628,1105,Established,Grocery
1,2,13,116,48,0,X,47,5,2013,36-45,Married,0,2,1,3,31.54025974025974,234.247012987013,-27.699168831168834,-3.215038961038961,1.0509259259259258,63.833518518518524,-10.661342592592591,0.0,56,Local,Grocery
2,6,9,635,205,0,Y,32,3,2013,46-55,Married,0,2,1,7,1.3927835051546391,121.09449484536083,-17.795659793814433,-2.2120824742268037,1.3538024164889837,332.12837953091685,-142.4984925373134,-2.987320540156361,560,Established,Pharmaceutical
3,7,13,644,1050,0,X,47,5,2013,70+,Married,0,2,1,4,1.2911392405063291,98.27603375527426,-16.655569620253164,-0.7514767932489451,1.1103896103896105,94.26163961038961,-5.010600649350649,-4.4525,611,Established,Grocery
4,9,8,1017,1489,0,X,48,2,2013,46-55,Married,0,2,1,3,247.44306049822063,120.63610320284698,-20.52473309608541,-0.4715480427046263,1.0710441524136753,181.62163106429915,-33.62912122646841,-0.1980546278828658,1558,Established,Grocery
5,11,11,795,793,0,Y,46,4,2013,46-55,Married,0,2,1,5,93.2,147.94195930232559,-18.835994186046513,-0.5755058139534883,1.15,179.14815384615383,-36.89014102564102,0.0,948,Established,Pharmaceutical
6,14,9,444,590,0,Y,32,3,2013,36-45,Married,0,2,1,1,463.42445482866043,140.37795950155763,-18.27971183800623,-0.1262227414330218,1.1259311465409028,88.28630703861737,-41.995467443478994,-1.1552994034420863,133,Established,Grocery
7,15,29,538,368,0,Y,53,10,2012,36-45,Married,0,1,1,5,78.28808208366219,105.25794790844515,-13.727296764009472,-0.04076558800315706,1.5510042666340036,55.58857489235595,-15.553236370758245,-1.1737270698193485,278,Established,Grocery
8,17,30,857,523,0,X,46,11,2012,56-70,Married,0,2,1,5,1.8024691358024691,125.42456790123457,-18.29222222222222,-1.597695473251029,1.101912784475053,49.87925066851808,-9.45504292894721,-0.20591080278024143,507,Established,Grocery
9,19,2,559,679,0,Y,32,12,2012,36-45,Single,1,2,1,4,1.253654970760234,114.893932748538,-16.625891812865497,0.0,1.0739695677625223,266.0362759579218,-39.50965684997917,-1.132692165300866,350,Established,Packaged Meat
10,20,9,575,108,0,Y,32,3,2013,46-55,Married,0,1,1,5,1.1610486891385767,170.74194756554306,-22.386029962546814,-11.959999999999999,1.0,190.13166666666666,-37.87611111111111,-1.978888888888889,406,Established,Grocery
11,21,13,1028,89,0,X,47,5,2013,46-55,Married,0,1,1,3,315.9191616766467,115.57633233532935,-26.041407185628742,-2.234176646706587,1.3049625666500397,97.44653466257598,-32.240628709454796,-3.104695056565698,1639,Established,Grocery
12,22,9,705,712,0,Y,32,3,2013,46-55,Married,0,3,1,5,46.02998696219035,124.96581486310299,-23.069895697522817,-1.5371968709256845,1.0755261237821485,112.08230332303025,-19.575405513113317,-1.1140904875462003,714,Established,Grocery
13,23,13,517,1067,0,X,47,5,2013,46-55,Married,0,1,1,5,45.33711340206185,115.82974226804124,-12.1860412371134,-0.23318556701030926,1.142857142857143,508.85809523809525,-13.382857142857143,-27.139047619047616,261,Established,Pharmaceutical
14,24,5,893,761,0,Y,34,1,2013,26-35,Married,0,3,1,2,1.2991202346041055,88.13272727272727,-11.111612903225806,-0.4068621700879766,1.8742871189773844,713.3842320550639,-113.72185758767618,-2.3746666666666667,1101,Established,Pharmaceutical
15,25,13,796,248,0,X,47,5,2013,36-45,Single,0,1,1,3,74.5356442119032,67.63354480052323,-15.45962066710268,-0.7382603008502289,1.3211750495534098,90.28654778632834,-16.66690093839828,-2.8853007505887773,967,Established,Grocery
16,26,11,506,1464,0,Y,46,4,2013,18-25,Married,0,1,1,1,74.7205040091638,116.7768003054601,-19.088327605956472,-0.027201221840397097,1.115936673218403,99.1559766823208,-7.706160839122368,-7.471468511655588,235,Established,Grocery
17,27,5,689,186,0,Y,34,1,2013,26-35,Married,0,2,1,4,1.5227576974564927,77.89710843373494,-13.817751004016065,-0.023842034805890224,1.0451610448412416,508.10438938519036,-37.73535154241563,-10.519496974385035,686,Established,Pharmaceutical
18,28,13,268,1152,0,X,47,5,2013,46-55,Married,0,3,1,10,5.17243920412675,104.12106116433309,-11.929771554900515,-0.18098747236551216,1.053030303030303,545.8061616161616,-48.14972222222222,0.0,4348,Established,Pharmaceutical
19,29,8,8,695,0,X,48,2,2013,56-70,Married,0,2,1,6,8.02283105022831,123.70670091324202,-13.540034246575342,-0.3151198630136986,1.2870666553845127,183.00911602663174,-32.20738803886862,-0.3903173646192175,56,Established,Meat
20,30,8,674,886,0,X,48,2,2013,46-55,Married,0,3,1,5,1.2212389380530972,100.4060429835651,-15.911858407079647,-0.30395701643489254,1.0642228931066626,98.28532303674099,-18.85019841443563,-1.0733976136846173,681,Established,Grocery
21,32,30,320,1255,0,X,46,11,2012,46-55,Married,0,5+,3+,9,1.1476323119777159,52.00398328690808,-9.653593314763231,0.0,1.1085220361090946,80.92815763093262,-18.114272262529443,-0.1430543994158452,56,Local,Grocery
22,33,12,109,553,0,Y,32,4,2013,36-45,Married,0,3,1,11,5.629327902240326,148.78780719619823,-16.423224711473186,0.0,1.200995268201519,87.64234049806012,-23.402927183131393,0.0,56,Local,Grocery
23,34,8,278,1398,0,X,48,2,2013,36-45,Single,0,1,1,2,156.86617492096943,108.23382507903055,-22.421664910432032,-0.7056375131717597,1.1690170471517527,133.12171479340014,-15.933779086501657,0.0,4409,Established,Pharmaceutical
24,35,13,1031,1031,0,X,47,5,2013,36-45,Married,0,1,1,2,374.85767326732673,129.14049504950495,-22.83753712871287,-2.941237623762376,1.7340664054523667,57.13324362032761,-15.211268255935371,-0.24595420699765624,1665,Established,Grocery
25,39,26,326,63,0,X,40,8,2012,36-45,Married,1,4,2,2,20.53014184397163,99.16509751773049,-17.488324468085104,-2.3597960992907803,1.4057041724026318,50.26305261896663,-11.873580951932437,-0.033923809523809516,56,Local,Grocery
26,42,30,363,88,0,X,46,11,2012,26-35,Single,0,1,1,5,477.92208628461043,142.86503541532517,-27.759137153895686,-1.8153831294269156,1.054228027225327,66.57473920196072,-20.210400981206842,0.0,56,Local,Grocery
27,43,8,911,197,0,X,48,2,2013,18-25,Married,0,4,2,4,197.55555555555554,93.35417695473251,-30.3217695473251,-3.2677057613168725,1.0360215053763442,145.683561827957,-9.213559139784946,-3.0351075268817205,1128,Established,Pharmaceutical
28,45,8,383,1095,0,X,48,2,2013,56-70,Married,0,3,1,2,9.979609175870857,87.92675870858113,-16.007969413763806,-0.04615123194562447,1.0825036216340564,201.68056339983877,-47.453543993268624,-3.8616191356988456,57,Established,Grocery
29,46,13,482,1096,0,X,47,5,2013,56-70,Married,0,1,1,9,24.750889679715304,100.22231316725978,-22.033629893238434,0.0,1.0,420.46669125686407,-74.80775377726847,-22.09975169683258,206,Established,Grocery
30,48,26,813,919,0,X,40,8,2012,56-70,Married,0,1,1,4,591.8931034482758,158.82994827586205,-30.025672413793103,-4.972655172413793,1.4000757484945137,161.60370428928297,-30.33401375984901,-0.1649074074074074,984,Established,Packaged Meat
31,51,13,118,917,0,X,47,5,2013,36-45,Married,0,2,1,3,348.18901795142557,121.72251319957762,-17.232196409714888,-0.07522703273495247,1.1020234852229251,77.49531830819511,-17.760784545811816,0.0,56,Local,Grocery
