id,fecha,centro_atencion_turistica,barrio,comuna,pasajeros,pais_residencia_si_extranjero,otro_pais_residencia_si_extranjero,provincia_residencia_si_argentino,pernoctaciones,medio_transporte_llegada,alojamiento,otro_alojamiento,barrio,otro_barrio,primera_vez,motivo_viaje,otro_motivo_viaje,motivo_consulta,otro_motivo_consulta
1,2017-01-02,retiro,RETIRO,COMUNA 1,2,Chile,,,7,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion alojamiento,
2,2017-01-02,retiro,RETIRO,COMUNA 1,1,,,Provincia de Buenos Aires,2,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion,
3,2017-01-02,retiro,RETIRO,COMUNA 1,2,,,Córdoba,0,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas Orientacion alrededores,
4,2017-01-02,retiro,RETIRO,COMUNA 1,2,Francia,,,4,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion,
5,2017-01-02,retiro,RETIRO,COMUNA 1,1,México,,,0,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas Orientacion alrededores,
6,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Colombia,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
7,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Uruguay,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
8,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Estados Unidos,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,sube,
9,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Uruguay,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas,
10,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion bancos,
11,2017-01-02,retiro,RETIRO,COMUNA 1,2,,,Neuquén,10,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion,
12,2017-01-02,retiro,RETIRO,COMUNA 1,1,,,Mendoza,2,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion,
13,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Colombia,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas Orientacion gastro,
14,2017-01-02,retiro,RETIRO,COMUNA 1,2,,,Mendoza,7,Ómnibus/ Colectivo de larga distancia,Hotel,,San Telmo,,No,,,Mapas Orientacion,
15,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,3,Francia,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
16,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus,
17,2017-01-02,retiro,RETIRO,COMUNA 1,2,,,Mendoza,3,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion,
18,2017-01-02,recoleta2,RECOLETA,COMUNA 2,1,España,,,5,No especifica,,,,,No especifica,No especifica,,Bus Mapas Orientacion sube bancos,
19,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Italia,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus Mapas alrededores,
20,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,España,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus Mapas atractivos,
21,2017-01-02,recoleta2,RECOLETA,COMUNA 2,4,Colombia,,,5,No especifica,,,,,No especifica,No especifica,,Bus Mapas Orientacion sube agencias apps bancos visitas,
22,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,7,,,Provincia de Buenos Aires,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Bus Mapas,
23,2017-01-02,recoleta2,RECOLETA,COMUNA 2,2,India,,,3,No especifica,,,,,No especifica,No especifica,,Bus Mapas Orientacion agencias info_arg,
24,2017-01-02,recoleta2,RECOLETA,COMUNA 2,4,Colombia,,,6,No especifica,,,,,No especifica,No especifica,,Mapas info_uru,
25,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,2,,,Santa Fe,3,No especifica,,,,,No especifica,No especifica,,Mapas,
26,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,3,,,Entre Ríos,5,No especifica,,,,,No especifica,No especifica,,Orientacion instalaciones,
27,2017-01-02,recoleta2,RECOLETA,COMUNA 2,2,España,,,2,Avión,Hotel,,Recoleta,,No especifica,Vacaciones / Ocio / Recreación ,,Bus Mapas,
28,2017-01-02,recoleta2,RECOLETA,COMUNA 2,2,Ecuador,,,6,No especifica,,,,,No especifica,No especifica,,Bus,
29,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Uruguay,,,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Mapas,
30,2017-01-02,hub2,SAN NICOLAS,COMUNA 1,2,Colombia,,,11,No especifica,,,,,No especifica,No especifica,,Mapas apps,
31,2017-01-02,hub2,SAN NICOLAS,COMUNA 1,12,Brasil,,,15,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion apps visitas,
32,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,1,,,AMBA,,No especifica,No pernocta en Buenos Aires,,,,No especifica,No especifica,,Orientacion,
33,2017-01-02,florida2,SAN NICOLAS,COMUNA 1,2,Brasil,,,,Avión,No pernocta en Buenos Aires,,,,Sí,,,Bus,
34,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,1,Australia,,,5,No especifica,,,,,No especifica,No especifica,,Mapas,
35,2017-01-02,puertomadero2,PUERTO MADERO,COMUNA 1,3,Uruguay,,,2,No especifica,,,,,No especifica,No especifica,,Mapas Orientacion barrios,
36,2017-01-02,recoleta2,RECOLETA,COMUNA 2,2,Brasil,,,2,Avión,Hostel,,San Telmo,,No especifica,Vacaciones / Ocio / Recreación ,,Bus,
